"","Cell_Type3","Cell_Type2","Cell_Type1","Cell_Type4"
"Cell315",0,0,0,1
"Cell316",0,0,0,1
"Cell317",0,0,1,0
"Cell318",0,0,1,0
"Cell319",0,0,0,1
"Cell320",0,0,0,1
"Cell321",0,1,0,0
"Cell322",1,0,0,0
"Cell323",0,0,0,1
"Cell324",1,0,0,0
"Cell325",0,0,1,0
"Cell326",0,0,1,0
"Cell327",0,0,0,1
"Cell328",0,0,0,1
"Cell329",0,1,0,0
"Cell330",0,0,1,0
"Cell331",0,0,1,0
"Cell332",0,0,0,1
"Cell333",1,0,0,0
"Cell334",1,0,0,0
"Cell335",1,0,0,0
"Cell336",0,0,1,0
"Cell337",1,0,0,0
"Cell338",1,0,0,0
"Cell339",1,0,0,0
"Cell340",0,0,0,1
"Cell341",0,0,0,1
"Cell342",0,0,0,1
"Cell343",1,0,0,0
"Cell344",0,0,0,1
"Cell345",0,0,0,1
"Cell346",0,0,1,0
"Cell347",0,0,1,0
"Cell348",0,0,1,0
"Cell349",0,1,0,0
"Cell350",1,0,0,0
"Cell351",0,0,1,0
"Cell352",0,0,0,1
"Cell353",0,0,0,1
"Cell354",0,0,1,0
"Cell355",0,1,0,0
"Cell356",0,0,1,0
"Cell357",0,1,0,0
"Cell358",0,0,1,0
"Cell359",0,1,0,0
"Cell360",1,0,0,0
"Cell361",1,0,0,0
"Cell362",0,0,0,1
"Cell363",0,1,0,0
"Cell364",0,0,0,1
"Cell365",1,0,0,0
"Cell366",0,0,1,0
"Cell367",0,0,1,0
"Cell368",0,0,0,1
"Cell369",0,0,0,1
"Cell370",1,0,0,0
"Cell371",1,0,0,0
"Cell372",1,0,0,0
"Cell373",1,0,0,0
"Cell374",1,0,0,0
"Cell375",0,1,0,0
"Cell376",0,0,1,0
"Cell377",1,0,0,0
"Cell378",0,1,0,0
"Cell379",0,1,0,0
"Cell380",0,0,0,1
"Cell381",0,0,0,1
"Cell382",0,0,0,1
"Cell383",0,0,0,1
"Cell384",1,0,0,0
"Cell385",0,0,1,0
"Cell386",1,0,0,0
"Cell387",0,0,1,0
"Cell388",0,0,1,0
"Cell389",0,0,0,1
"Cell390",1,0,0,0
"Cell391",0,1,0,0
"Cell392",1,0,0,0
"Cell393",0,1,0,0
"Cell394",0,0,0,1
"Cell395",0,0,1,0
"Cell396",0,1,0,0
"Cell397",1,0,0,0
"Cell398",0,0,1,0
"Cell399",0,0,0,1
"Cell400",0,1,0,0
"Cell401",0,1,0,0
"Cell402",0,0,1,0
"Cell403",0,0,1,0
"Cell404",1,0,0,0
"Cell405",0,1,0,0
"Cell406",0,0,0,1
"Cell407",0,0,0,1
"Cell408",0,1,0,0
"Cell409",0,0,1,0
"Cell410",1,0,0,0
"Cell411",0,1,0,0
"Cell412",0,0,1,0
"Cell413",1,0,0,0
"Cell414",1,0,0,0
"Cell415",0,1,0,0
"Cell416",0,0,1,0
"Cell417",1,0,0,0
"Cell418",1,0,0,0
"Cell419",0,1,0,0
"Cell420",0,1,0,0
"Cell421",0,0,1,0
"Cell422",0,0,1,0
"Cell423",0,0,0,1
"Cell424",1,0,0,0
"Cell425",0,0,1,0
"Cell426",0,0,0,1
"Cell427",0,1,0,0
"Cell428",1,0,0,0
"Cell429",1,0,0,0
"Cell430",0,1,0,0
"Cell431",0,0,1,0
"Cell432",0,0,1,0
"Cell433",0,0,1,0
"Cell434",0,1,0,0
"Cell435",0,0,0,1
"Cell436",0,0,1,0
"Cell437",1,0,0,0
"Cell438",0,0,1,0
"Cell439",0,0,1,0
"Cell440",0,1,0,0
"Cell441",0,0,0,1
"Cell442",0,0,0,1
"Cell443",1,0,0,0
"Cell444",0,0,0,1
"Cell445",0,0,0,1
"Cell446",0,0,0,1
"Cell447",1,0,0,0
"Cell448",0,0,1,0
"Cell449",0,0,0,1
"Cell450",0,0,1,0
"Cell451",0,0,0,1
"Cell452",0,0,0,1
"Cell453",1,0,0,0
"Cell454",0,1,0,0
"Cell455",0,1,0,0
"Cell456",0,0,1,0
"Cell457",0,0,1,0
"Cell458",0,1,0,0
"Cell459",1,0,0,0
"Cell460",0,0,1,0
"Cell461",1,0,0,0
"Cell462",1,0,0,0
"Cell463",1,0,0,0
"Cell464",0,0,1,0
"Cell465",0,0,0,1
"Cell466",0,1,0,0
"Cell467",0,0,0,1
"Cell468",0,1,0,0
"Cell469",0,1,0,0
"Cell470",1,0,0,0
"Cell471",0,0,0,1
"Cell472",0,0,1,0
"Cell473",0,1,0,0
"Cell474",0,0,0,1
"Cell475",1,0,0,0
"Cell476",0,0,1,0
"Cell477",0,0,0,1
"Cell478",0,0,1,0
"Cell479",0,0,0,1
"Cell480",0,1,0,0
"Cell481",1,0,0,0
"Cell482",0,0,0,1
"Cell483",0,0,0,1
"Cell484",0,0,1,0
"Cell485",0,0,0,1
"Cell486",0,0,0,1
"Cell487",0,0,1,0
"Cell488",1,0,0,0
"Cell489",1,0,0,0
"Cell490",0,0,1,0
"Cell491",0,1,0,0
"Cell492",1,0,0,0
"Cell493",0,0,0,1
"Cell494",0,1,0,0
"Cell495",0,0,1,0
"Cell496",0,0,1,0
"Cell497",1,0,0,0
"Cell498",0,0,0,1
"Cell499",0,0,1,0
"Cell500",0,1,0,0
"Cell501",1,0,0,0
"Cell502",0,0,0,1
"Cell503",0,0,1,0
"Cell504",0,1,0,0
"Cell505",0,0,1,0
"Cell506",0,0,0,1
"Cell507",0,1,0,0
"Cell508",0,1,0,0
"Cell509",0,0,1,0
"Cell510",1,0,0,0
"Cell511",0,0,1,0
"Cell512",0,0,1,0
"Cell513",0,0,0,1
"Cell514",0,1,0,0
"Cell515",0,0,1,0
"Cell516",0,1,0,0
"Cell517",0,1,0,0
"Cell518",0,1,0,0
"Cell519",0,0,0,1
"Cell520",0,0,0,1
"Cell521",1,0,0,0
"Cell522",0,0,0,1
"Cell523",1,0,0,0
"Cell524",0,1,0,0
"Cell525",0,0,0,1
"Cell526",1,0,0,0
"Cell527",1,0,0,0
"Cell528",1,0,0,0
"Cell529",0,0,0,1
"Cell530",0,0,1,0
"Cell531",0,0,1,0
"Cell532",1,0,0,0
"Cell533",1,0,0,0
"Cell534",0,0,1,0
"Cell535",0,0,1,0
"Cell536",0,0,0,1
"Cell537",0,1,0,0
"Cell538",0,0,1,0
"Cell539",0,0,0,1
"Cell540",1,0,0,0
"Cell541",1,0,0,0
"Cell542",0,0,1,0
"Cell543",0,0,0,1
"Cell544",0,1,0,0
"Cell545",0,0,0,1
"Cell546",0,0,1,0
"Cell547",1,0,0,0
"Cell548",1,0,0,0
"Cell549",0,0,1,0
"Cell550",0,0,1,0
"Cell551",1,0,0,0
"Cell552",1,0,0,0
"Cell553",0,0,1,0
"Cell554",1,0,0,0
"Cell555",0,0,1,0
"Cell556",1,0,0,0
"Cell557",0,1,0,0
"Cell558",0,1,0,0
"Cell559",1,0,0,0
"Cell560",0,1,0,0
"Cell561",0,1,0,0
"Cell562",0,1,0,0
"Cell563",0,1,0,0
"Cell564",0,0,0,1
"Cell565",1,0,0,0
"Cell566",0,1,0,0
"Cell567",0,0,0,1
"Cell568",0,1,0,0
"Cell569",0,0,1,0
"Cell570",0,1,0,0
"Cell571",1,0,0,0
"Cell572",0,1,0,0
"Cell573",0,0,0,1
"Cell574",0,1,0,0
"Cell575",0,0,0,1
"Cell576",0,1,0,0
"Cell577",0,0,1,0
"Cell578",0,0,0,1
"Cell579",1,0,0,0
"Cell580",0,0,1,0
"Cell581",0,0,1,0
"Cell582",1,0,0,0
"Cell583",0,1,0,0
"Cell584",0,0,0,1
"Cell585",0,0,1,0
"Cell586",1,0,0,0
"Cell587",0,0,1,0
"Cell588",0,1,0,0
"Cell589",0,0,0,1
"Cell590",0,0,0,1
"Cell591",1,0,0,0
"Cell592",0,1,0,0
"Cell593",0,0,1,0
"Cell594",1,0,0,0
"Cell595",0,0,1,0
"Cell596",0,0,1,0
"Cell597",0,0,0,1
"Cell598",0,0,0,1
"Cell599",1,0,0,0
"Cell600",0,0,1,0
"Cell601",1,0,0,0
"Cell602",1,0,0,0
"Cell603",0,1,0,0
"Cell604",0,1,0,0
"Cell605",1,0,0,0
"Cell606",0,0,0,1
"Cell607",0,0,1,0
"Cell608",0,0,1,0
"Cell609",1,0,0,0
"Cell610",0,1,0,0
"Cell611",0,1,0,0
"Cell612",0,0,1,0
"Cell613",0,1,0,0
"Cell614",0,0,1,0
"Cell615",0,1,0,0
"Cell616",0,0,1,0
"Cell617",0,1,0,0
"Cell618",0,0,1,0
"Cell619",0,1,0,0
"Cell620",1,0,0,0
"Cell621",1,0,0,0
"Cell622",0,1,0,0
"Cell623",0,0,1,0
"Cell624",0,0,0,1
"Cell625",0,0,1,0
"Cell626",0,0,0,1
"Cell627",0,0,1,0
"Cell628",1,0,0,0
"Cell629",1,0,0,0
"Cell630",0,0,1,0
"Cell631",0,0,1,0
"Cell632",0,1,0,0
"Cell633",0,0,1,0
"Cell634",0,1,0,0
"Cell635",1,0,0,0
"Cell636",1,0,0,0
"Cell637",0,1,0,0
"Cell638",0,0,1,0
"Cell639",0,0,0,1
"Cell640",0,1,0,0
"Cell641",0,0,0,1
"Cell642",0,0,1,0
"Cell643",0,1,0,0
"Cell644",1,0,0,0
"Cell645",0,0,1,0
"Cell646",0,0,1,0
"Cell647",0,0,0,1
"Cell648",0,0,0,1
"Cell649",0,1,0,0
"Cell650",1,0,0,0
"Cell651",1,0,0,0
"Cell652",0,1,0,0
"Cell653",0,1,0,0
"Cell654",0,0,1,0
"Cell655",0,0,1,0
"Cell656",0,0,0,1
"Cell657",1,0,0,0
"Cell658",0,0,0,1
"Cell659",0,0,0,1
"Cell660",0,1,0,0
"Cell661",0,0,0,1
"Cell662",0,0,0,1
"Cell663",0,0,0,1
"Cell664",1,0,0,0
"Cell665",0,1,0,0
"Cell666",0,1,0,0
"Cell667",1,0,0,0
"Cell668",1,0,0,0
"Cell669",0,0,0,1
"Cell670",1,0,0,0
"Cell671",1,0,0,0
"Cell672",0,0,0,1
"Cell673",0,1,0,0
"Cell674",1,0,0,0
"Cell675",1,0,0,0
"Cell676",1,0,0,0
"Cell677",1,0,0,0
"Cell678",1,0,0,0
"Cell679",1,0,0,0
"Cell680",1,0,0,0
"Cell681",0,0,0,1
"Cell682",0,1,0,0
"Cell683",0,1,0,0
"Cell684",1,0,0,0
"Cell685",0,1,0,0
"Cell686",0,1,0,0
"Cell687",1,0,0,0
"Cell688",0,0,0,1
"Cell689",1,0,0,0
"Cell690",0,0,1,0
"Cell691",0,1,0,0
"Cell692",0,0,1,0
"Cell693",0,0,1,0
"Cell694",0,1,0,0
"Cell695",1,0,0,0
"Cell696",0,1,0,0
"Cell697",0,0,0,1
"Cell698",1,0,0,0
"Cell699",0,1,0,0
"Cell700",1,0,0,0
"Cell701",0,0,0,1
"Cell702",0,0,0,1
"Cell703",0,0,1,0
"Cell704",0,0,0,1
"Cell705",0,0,1,0
"Cell706",0,1,0,0
"Cell707",1,0,0,0
"Cell708",0,0,1,0
"Cell709",0,1,0,0
"Cell710",0,0,0,1
"Cell711",0,0,0,1
"Cell712",1,0,0,0
"Cell713",1,0,0,0
"Cell714",0,0,1,0
"Cell715",0,0,0,1
"Cell716",0,0,1,0
"Cell717",1,0,0,0
"Cell718",0,0,0,1
"Cell719",0,1,0,0
"Cell720",0,1,0,0
"Cell721",1,0,0,0
"Cell722",0,0,0,1
"Cell723",0,0,0,1
"Cell724",0,0,0,1
"Cell725",1,0,0,0
"Cell726",0,1,0,0
"Cell727",0,0,0,1
"Cell728",0,1,0,0
"Cell729",0,0,1,0
"Cell730",1,0,0,0
"Cell731",0,0,1,0
"Cell732",1,0,0,0
"Cell733",1,0,0,0
"Cell734",0,0,1,0
"Cell735",1,0,0,0
"Cell736",0,0,1,0
"Cell737",1,0,0,0
"Cell738",0,1,0,0
"Cell739",0,1,0,0
"Cell740",1,0,0,0
"Cell741",1,0,0,0
"Cell742",0,1,0,0
"Cell743",1,0,0,0
"Cell744",0,0,0,1
"Cell745",0,0,0,1
"Cell746",0,0,1,0
"Cell747",0,1,0,0
"Cell748",0,1,0,0
"Cell749",0,0,1,0
"Cell750",0,0,1,0
"Cell751",0,0,1,0
"Cell752",0,0,1,0
"Cell753",1,0,0,0
"Cell754",0,0,0,1
"Cell755",0,0,0,1
"Cell756",1,0,0,0
"Cell757",0,1,0,0
"Cell758",0,0,1,0
"Cell759",0,0,0,1
"Cell760",1,0,0,0
"Cell761",0,0,0,1
"Cell762",0,1,0,0
"Cell763",0,1,0,0
"Cell764",1,0,0,0
"Cell765",1,0,0,0
"Cell766",1,0,0,0
"Cell767",1,0,0,0
"Cell768",0,1,0,0
"Cell769",0,0,0,1
"Cell770",1,0,0,0
"Cell771",0,0,1,0
"Cell772",1,0,0,0
"Cell773",1,0,0,0
"Cell774",0,0,1,0
"Cell775",0,0,0,1
"Cell776",1,0,0,0
"Cell777",1,0,0,0
"Cell778",0,1,0,0
"Cell779",0,0,0,1
"Cell780",0,1,0,0
"Cell781",0,0,1,0
"Cell782",1,0,0,0
"Cell783",0,0,1,0
"Cell784",0,0,0,1
"Cell785",1,0,0,0
"Cell786",0,1,0,0
"Cell787",0,1,0,0
"Cell788",1,0,0,0
"Cell789",0,0,0,1
"Cell790",1,0,0,0
"Cell791",1,0,0,0
"Cell792",0,0,1,0
"Cell793",0,0,0,1
"Cell794",0,1,0,0
"Cell795",0,1,0,0
"Cell796",0,0,0,1
"Cell797",0,0,1,0
"Cell798",1,0,0,0
"Cell799",0,0,1,0
"Cell800",0,0,0,1
"Cell801",1,0,0,0
"Cell802",0,0,0,1
"Cell803",1,0,0,0
"Cell804",0,1,0,0
"Cell805",1,0,0,0
"Cell806",0,0,0,1
"Cell807",1,0,0,0
"Cell808",0,0,0,1
"Cell809",0,0,0,1
"Cell810",0,1,0,0
"Cell811",0,1,0,0
"Cell812",0,1,0,0
"Cell813",0,0,0,1
"Cell814",1,0,0,0
"Cell815",0,1,0,0
"Cell816",1,0,0,0
"Cell817",0,0,0,1
"Cell818",0,0,0,1
"Cell819",0,0,1,0
"Cell820",0,0,1,0
"Cell821",0,0,0,1
"Cell822",0,1,0,0
"Cell823",1,0,0,0
"Cell824",0,0,0,1
"Cell825",1,0,0,0
"Cell826",0,0,1,0
"Cell827",0,1,0,0
"Cell828",0,0,0,1
"Cell829",0,0,0,1
"Cell830",0,0,1,0
"Cell831",1,0,0,0
"Cell832",0,0,0,1
"Cell833",0,0,1,0
"Cell834",1,0,0,0
"Cell835",0,1,0,0
"Cell836",1,0,0,0
"Cell837",0,0,0,1
"Cell838",0,0,1,0
"Cell839",1,0,0,0
"Cell840",0,0,0,1
"Cell841",1,0,0,0
"Cell842",0,0,1,0
"Cell843",1,0,0,0
"Cell844",0,0,0,1
"Cell845",0,0,0,1
"Cell846",0,0,1,0
"Cell847",0,0,0,1
"Cell848",0,1,0,0
"Cell849",0,0,1,0
"Cell850",1,0,0,0
"Cell851",0,0,1,0
"Cell852",0,0,1,0
"Cell853",0,0,1,0
"Cell854",0,1,0,0
"Cell855",0,1,0,0
"Cell856",0,1,0,0
"Cell857",0,0,1,0
"Cell858",0,1,0,0
"Cell859",0,0,0,1
"Cell860",0,1,0,0
"Cell861",1,0,0,0
"Cell862",0,0,0,1
"Cell863",1,0,0,0
"Cell864",0,0,1,0
"Cell865",0,0,1,0
"Cell866",0,1,0,0
"Cell867",1,0,0,0
"Cell868",1,0,0,0
"Cell869",0,0,0,1
"Cell870",0,0,1,0
"Cell871",0,0,0,1
"Cell872",0,1,0,0
"Cell873",0,0,0,1
"Cell874",0,0,1,0
"Cell875",0,0,0,1
"Cell876",0,0,0,1
"Cell877",0,0,0,1
"Cell878",1,0,0,0
"Cell879",0,1,0,0
"Cell880",0,0,1,0
"Cell881",0,0,1,0
"Cell882",0,0,1,0
"Cell883",0,1,0,0
"Cell884",0,0,0,1
"Cell885",0,0,0,1
"Cell886",0,0,1,0
"Cell887",0,1,0,0
"Cell888",1,0,0,0
"Cell889",0,0,1,0
"Cell890",0,1,0,0
"Cell891",0,0,1,0
"Cell892",0,0,1,0
"Cell893",0,1,0,0
"Cell894",0,0,1,0
"Cell895",0,0,0,1
"Cell896",0,1,0,0
"Cell897",0,1,0,0
"Cell898",0,1,0,0
"Cell899",0,0,0,1
"Cell900",1,0,0,0
"Cell901",1,0,0,0
"Cell902",0,0,0,1
"Cell903",1,0,0,0
"Cell904",0,0,0,1
"Cell905",0,1,0,0
"Cell906",1,0,0,0
"Cell907",1,0,0,0
"Cell908",0,1,0,0
"Cell909",0,0,1,0
"Cell910",0,1,0,0
"Cell911",0,0,1,0
"Cell912",0,0,1,0
"Cell913",0,0,1,0
"Cell914",1,0,0,0
"Cell915",0,1,0,0
"Cell916",1,0,0,0
"Cell917",0,1,0,0
"Cell918",0,0,0,1
"Cell919",0,1,0,0
"Cell920",1,0,0,0
"Cell921",0,0,0,1
"Cell922",0,1,0,0
"Cell923",0,0,1,0
"Cell924",0,0,1,0
"Cell925",1,0,0,0
"Cell926",0,0,1,0
"Cell927",0,1,0,0
"Cell928",0,0,0,1
"Cell929",0,0,1,0
"Cell930",0,0,1,0
"Cell931",0,0,0,1
"Cell932",0,1,0,0
"Cell933",0,1,0,0
"Cell934",1,0,0,0
"Cell935",0,0,0,1
"Cell936",0,0,0,1
"Cell937",0,1,0,0
"Cell938",1,0,0,0
"Cell939",0,1,0,0
"Cell940",0,0,1,0
"Cell941",0,0,1,0
"Cell942",0,0,1,0
"Cell943",0,0,1,0
"Cell944",0,0,1,0
"Cell945",1,0,0,0
"Cell946",0,1,0,0
"Cell947",0,1,0,0
"Cell948",0,0,1,0
"Cell949",0,0,0,1
"Cell950",0,0,0,1
"Cell951",0,0,1,0
"Cell952",0,0,1,0
"Cell953",0,0,1,0
"Cell954",0,0,1,0
"Cell955",0,0,1,0
"Cell956",0,0,1,0
"Cell957",1,0,0,0
"Cell958",0,0,1,0
"Cell959",0,0,0,1
"Cell960",1,0,0,0
"Cell961",0,0,1,0
"Cell962",0,0,0,1
"Cell963",0,0,0,1
"Cell964",1,0,0,0
"Cell965",0,0,0,1
"Cell966",0,1,0,0
"Cell967",0,0,0,1
"Cell968",0,0,1,0
"Cell969",1,0,0,0
"Cell970",1,0,0,0
"Cell971",0,1,0,0
"Cell972",0,1,0,0
"Cell973",1,0,0,0
"Cell974",0,1,0,0
"Cell975",0,0,1,0
"Cell976",0,1,0,0
"Cell977",0,1,0,0
"Cell978",1,0,0,0
"Cell979",1,0,0,0
"Cell980",0,0,1,0
"Cell981",0,0,1,0
"Cell982",1,0,0,0
"Cell983",0,0,0,1
"Cell984",0,1,0,0
"Cell985",1,0,0,0
"Cell986",1,0,0,0
"Cell987",0,1,0,0
"Cell988",1,0,0,0
"Cell989",0,0,1,0
"Cell990",1,0,0,0
"Cell991",0,0,1,0
"Cell992",1,0,0,0
"Cell993",0,0,0,1
"Cell994",0,0,0,1
"Cell995",0,0,0,1
