CellID	bio_celltype
Cell145	CT4
Cell146	CT3
Cell147	CT2
Cell148	CT1
Cell149	CT1
Cell150	CT2
Cell151	CT1
Cell152	CT1
Cell153	CT4
Cell154	CT4
Cell155	CT1
Cell156	CT4
Cell157	CT2
Cell158	CT1
Cell159	CT3
Cell160	CT4
Cell161	CT3
Cell162	CT2
Cell163	CT1
Cell164	CT4
Cell165	CT2
Cell166	CT2
Cell167	CT1
Cell168	CT2
Cell169	CT2
Cell170	CT1
Cell171	CT4
Cell172	CT4
Cell173	CT3
Cell174	CT4
Cell175	CT3
Cell176	CT1
Cell177	CT2
Cell178	CT2
Cell179	CT1
Cell180	CT2
Cell181	CT4
Cell182	CT3
Cell183	CT1
Cell184	CT4
Cell185	CT2
Cell186	CT2
Cell187	CT2
Cell188	CT4
Cell189	CT4
Cell190	CT1
Cell191	CT4
Cell192	CT1
Cell193	CT4
Cell194	CT1
Cell195	CT1
Cell196	CT2
Cell197	CT3
Cell198	CT1
Cell199	CT1
Cell200	CT4
Cell201	CT4
Cell202	CT1
Cell203	CT3
Cell204	CT1
Cell205	CT2
Cell206	CT3
Cell207	CT4
Cell208	CT2
Cell209	CT4
Cell210	CT2
Cell211	CT3
Cell212	CT1
Cell213	CT1
Cell214	CT1
Cell215	CT3
Cell216	CT3
Cell217	CT4
Cell218	CT1
Cell219	CT1
Cell220	CT1
Cell221	CT3
Cell222	CT2
Cell223	CT2
Cell224	CT2
Cell225	CT2
Cell226	CT3
Cell227	CT2
Cell228	CT2
Cell229	CT4
Cell230	CT4
Cell231	CT3
Cell232	CT4
Cell233	CT4
Cell234	CT2
Cell235	CT1
Cell236	CT4
Cell237	CT4
Cell238	CT1
Cell239	CT4
Cell240	CT3
Cell241	CT4
Cell242	CT3
Cell243	CT2
Cell244	CT1
Cell245	CT1
Cell246	CT4
Cell247	CT4
Cell248	CT3
Cell249	CT2
Cell250	CT3
Cell251	CT4
Cell252	CT2
Cell253	CT4
Cell254	CT3
Cell255	CT3
Cell256	CT1
Cell257	CT3
Cell258	CT1
Cell259	CT1
Cell260	CT2
Cell261	CT3
Cell262	CT3
Cell263	CT4
Cell264	CT1
Cell265	CT4
Cell266	CT1
Cell267	CT2
Cell268	CT1
Cell269	CT1
Cell270	CT1
Cell271	CT3
Cell272	CT2
Cell273	CT2
Cell274	CT1
Cell275	CT4
Cell276	CT2
Cell277	CT3
Cell278	CT4
Cell279	CT3
Cell280	CT2
Cell281	CT4
Cell282	CT4
Cell283	CT2
Cell284	CT3
Cell285	CT2
Cell286	CT4
Cell287	CT3
Cell288	CT2
Cell289	CT3
Cell290	CT4
Cell291	CT1
Cell292	CT3
Cell293	CT3
Cell294	CT4
Cell295	CT4
Cell296	CT1
Cell297	CT3
Cell298	CT4
Cell299	CT4
Cell300	CT2
Cell301	CT1
Cell302	CT4
Cell303	CT3
Cell304	CT4
Cell305	CT3
Cell306	CT2
Cell307	CT4
Cell308	CT2
Cell309	CT4
Cell310	CT1
Cell311	CT1
Cell312	CT2
Cell313	CT4
Cell314	CT1
Cell315	CT4
Cell316	CT4
Cell317	CT3
Cell318	CT3
Cell319	CT4
Cell320	CT4
Cell321	CT2
Cell322	CT1
Cell323	CT4
Cell324	CT1
Cell325	CT3
Cell326	CT3
Cell327	CT4
Cell328	CT4
Cell329	CT2
Cell330	CT3
Cell331	CT3
Cell332	CT4
Cell333	CT1
Cell334	CT1
Cell335	CT1
Cell336	CT3
Cell337	CT1
Cell338	CT1
Cell339	CT1
Cell340	CT4
Cell341	CT4
Cell342	CT4
Cell343	CT1
Cell344	CT4
Cell345	CT4
Cell346	CT3
Cell347	CT3
Cell348	CT3
Cell349	CT2
Cell350	CT1
Cell351	CT3
Cell352	CT4
Cell353	CT4
Cell354	CT3
Cell355	CT2
Cell356	CT3
Cell357	CT2
Cell358	CT3
Cell359	CT2
Cell360	CT1
Cell361	CT1
Cell362	CT4
Cell363	CT2
Cell364	CT4
Cell365	CT1
Cell366	CT3
Cell367	CT3
Cell368	CT4
Cell369	CT4
Cell370	CT1
Cell371	CT1
Cell372	CT1
Cell373	CT1
Cell374	CT1
Cell375	CT2
Cell376	CT3
Cell377	CT1
Cell378	CT2
Cell379	CT2
Cell380	CT4
Cell381	CT4
Cell382	CT4
Cell383	CT4
Cell384	CT1
Cell385	CT3
Cell386	CT1
Cell387	CT3
Cell388	CT3
Cell389	CT4
Cell390	CT1
Cell391	CT2
Cell392	CT1
Cell393	CT2
Cell394	CT4
Cell395	CT3
Cell396	CT2
Cell397	CT1
Cell398	CT3
Cell399	CT4
Cell400	CT2
Cell401	CT2
Cell402	CT3
Cell403	CT3
Cell404	CT1
Cell405	CT2
Cell406	CT4
Cell407	CT4
Cell408	CT2
Cell409	CT3
Cell410	CT1
Cell411	CT2
Cell412	CT3
Cell413	CT1
Cell414	CT1
Cell415	CT2
Cell416	CT3
Cell417	CT1
Cell418	CT1
Cell419	CT2
Cell420	CT2
Cell421	CT3
Cell422	CT3
Cell423	CT4
Cell424	CT1
Cell425	CT3
Cell426	CT4
Cell427	CT2
Cell428	CT1
Cell429	CT1
Cell430	CT2
Cell431	CT3
Cell432	CT3
Cell433	CT3
Cell434	CT2
Cell435	CT4
Cell436	CT3
Cell437	CT1
Cell438	CT3
Cell439	CT3
Cell440	CT2
Cell441	CT4
Cell442	CT4
Cell443	CT1
Cell444	CT4
Cell445	CT4
Cell446	CT4
Cell447	CT1
Cell448	CT3
Cell449	CT4
Cell450	CT3
Cell451	CT4
Cell452	CT4
Cell453	CT1
Cell454	CT2
Cell455	CT2
Cell456	CT3
Cell457	CT3
Cell458	CT2
Cell459	CT1
Cell460	CT3
Cell461	CT1
Cell462	CT1
Cell463	CT1
Cell464	CT3
Cell465	CT4
Cell466	CT2
Cell467	CT4
Cell468	CT2
Cell469	CT2
Cell470	CT1
Cell471	CT4
Cell472	CT3
Cell473	CT2
Cell474	CT4
Cell475	CT1
Cell476	CT3
Cell477	CT4
Cell478	CT3
Cell479	CT4
Cell480	CT2
Cell481	CT1
Cell482	CT4
Cell483	CT4
Cell484	CT3
Cell485	CT4
Cell486	CT4
Cell487	CT3
Cell488	CT1
Cell489	CT1
Cell490	CT3
Cell491	CT2
Cell492	CT1
Cell493	CT4
Cell494	CT2
Cell495	CT3
Cell496	CT3
Cell497	CT1
Cell498	CT4
Cell499	CT3
Cell500	CT2
Cell501	CT1
Cell502	CT4
Cell503	CT3
Cell504	CT2
Cell505	CT3
Cell506	CT4
Cell507	CT2
Cell508	CT2
Cell509	CT3
Cell510	CT1
Cell511	CT3
Cell512	CT3
Cell513	CT4
Cell514	CT2
Cell515	CT3
Cell516	CT2
Cell517	CT2
Cell518	CT2
Cell519	CT4
Cell520	CT4
Cell521	CT1
Cell522	CT4
Cell523	CT1
Cell524	CT2
Cell525	CT4
Cell526	CT1
Cell527	CT1
Cell528	CT1
Cell529	CT4
Cell530	CT3
Cell531	CT3
Cell532	CT1
Cell533	CT1
Cell534	CT3
Cell535	CT3
Cell536	CT4
Cell537	CT2
Cell538	CT3
Cell539	CT4
Cell540	CT1
Cell541	CT1
Cell542	CT3
Cell543	CT4
Cell544	CT2
Cell545	CT4
Cell546	CT3
Cell547	CT1
Cell548	CT1
Cell549	CT3
Cell550	CT3
Cell551	CT1
Cell552	CT1
Cell553	CT3
Cell554	CT1
Cell555	CT3
Cell556	CT1
Cell557	CT2
Cell558	CT2
Cell559	CT1
Cell560	CT2
Cell561	CT2
Cell562	CT2
Cell563	CT2
Cell564	CT4
Cell565	CT1
Cell566	CT2
Cell567	CT4
Cell568	CT2
Cell569	CT3
Cell570	CT2
Cell571	CT1
Cell572	CT2
Cell573	CT4
Cell574	CT2
Cell575	CT4
Cell576	CT2
Cell577	CT3
Cell578	CT4
Cell579	CT1
Cell580	CT3
Cell581	CT3
Cell582	CT1
Cell583	CT2
Cell584	CT4
Cell585	CT3
Cell586	CT1
Cell587	CT3
Cell588	CT2
Cell589	CT4
Cell590	CT4
Cell591	CT1
Cell592	CT2
Cell593	CT3
Cell594	CT1
Cell595	CT3
Cell596	CT3
Cell597	CT4
Cell598	CT4
Cell599	CT1
Cell600	CT3
Cell601	CT1
Cell602	CT1
Cell603	CT2
Cell604	CT2
Cell605	CT1
Cell606	CT4
Cell607	CT3
Cell608	CT3
Cell609	CT1
Cell610	CT2
Cell611	CT2
Cell612	CT3
Cell613	CT2
Cell614	CT3
Cell615	CT2
Cell616	CT3
Cell617	CT2
Cell618	CT3
Cell619	CT2
Cell620	CT1
Cell621	CT1
Cell622	CT2
Cell623	CT3
Cell624	CT4
Cell625	CT3
Cell626	CT4
Cell627	CT3
Cell628	CT1
Cell629	CT1
Cell630	CT3
Cell631	CT3
Cell632	CT2
Cell633	CT3
Cell634	CT2
Cell635	CT1
Cell636	CT1
Cell637	CT2
Cell638	CT3
Cell639	CT4
Cell640	CT2
Cell641	CT4
Cell642	CT3
Cell643	CT2
Cell644	CT1
Cell645	CT3
Cell646	CT3
Cell647	CT4
Cell648	CT4
Cell649	CT2
Cell650	CT1
Cell651	CT1
Cell652	CT2
Cell653	CT2
Cell654	CT3
Cell655	CT3
Cell656	CT4
Cell657	CT1
Cell658	CT4
Cell659	CT4
Cell660	CT2
Cell661	CT4
Cell662	CT4
Cell663	CT4
Cell664	CT1
Cell665	CT2
Cell666	CT2
Cell667	CT1
Cell668	CT1
Cell669	CT4
Cell670	CT1
Cell671	CT1
Cell672	CT4
Cell673	CT2
Cell674	CT1
Cell675	CT1
Cell676	CT1
Cell677	CT1
Cell678	CT1
Cell679	CT1
Cell680	CT1
Cell681	CT4
Cell682	CT2
Cell683	CT2
Cell684	CT1
Cell685	CT2
Cell686	CT2
Cell687	CT1
Cell688	CT4
Cell689	CT1
Cell690	CT3
Cell691	CT2
Cell692	CT3
Cell693	CT3
Cell694	CT2
Cell695	CT1
Cell696	CT2
Cell697	CT4
Cell698	CT1
Cell699	CT2
Cell700	CT1
Cell701	CT4
Cell702	CT4
Cell703	CT3
Cell704	CT4
Cell705	CT3
Cell706	CT2
Cell707	CT1
Cell708	CT3
Cell709	CT2
Cell710	CT4
Cell711	CT4
Cell712	CT1
Cell713	CT1
Cell714	CT3
Cell715	CT4
Cell716	CT3
Cell717	CT1
Cell718	CT4
Cell719	CT2
Cell720	CT2
Cell721	CT1
Cell722	CT4
Cell723	CT4
Cell724	CT4
Cell725	CT1
Cell726	CT2
Cell727	CT4
Cell728	CT2
Cell729	CT3
Cell730	CT1
Cell731	CT3
Cell732	CT1
Cell733	CT1
Cell734	CT3
Cell735	CT1
Cell736	CT3
Cell737	CT1
Cell738	CT2
Cell739	CT2
Cell740	CT1
Cell741	CT1
Cell742	CT2
Cell743	CT1
Cell744	CT4
Cell745	CT4
Cell746	CT3
Cell747	CT2
Cell748	CT2
Cell749	CT3
Cell750	CT3
Cell751	CT3
Cell752	CT3
Cell753	CT1
Cell754	CT4
Cell755	CT4
Cell756	CT1
Cell757	CT2
Cell758	CT3
Cell759	CT4
Cell760	CT1
Cell761	CT4
Cell762	CT2
Cell763	CT2
Cell764	CT1
Cell765	CT1
Cell766	CT1
Cell767	CT1
Cell768	CT2
Cell769	CT4
Cell770	CT1
Cell771	CT3
Cell772	CT1
Cell773	CT1
Cell774	CT3
Cell775	CT4
Cell776	CT1
Cell777	CT1
Cell778	CT2
Cell779	CT4
Cell780	CT2
Cell781	CT3
Cell782	CT1
Cell783	CT3
Cell784	CT4
Cell785	CT1
Cell786	CT2
Cell787	CT2
Cell788	CT1
Cell789	CT4
Cell790	CT1
Cell791	CT1
Cell792	CT3
Cell793	CT4
Cell794	CT2
Cell795	CT2
Cell796	CT4
Cell797	CT3
Cell798	CT1
Cell799	CT3
Cell800	CT4
Cell801	CT1
Cell802	CT4
Cell803	CT1
Cell804	CT2
Cell805	CT1
Cell806	CT4
Cell807	CT1
Cell808	CT4
Cell809	CT4
Cell810	CT2
Cell811	CT2
Cell812	CT2
Cell813	CT4
Cell814	CT1
Cell815	CT2
Cell816	CT1
Cell817	CT4
Cell818	CT4
Cell819	CT3
Cell820	CT3
Cell821	CT4
Cell822	CT2
Cell823	CT1
Cell824	CT4
Cell825	CT1
Cell826	CT3
Cell827	CT2
Cell828	CT4
Cell829	CT4
Cell830	CT3
Cell831	CT1
Cell832	CT4
Cell833	CT3
Cell834	CT1
Cell835	CT2
Cell836	CT1
Cell837	CT4
Cell838	CT3
Cell839	CT1
Cell840	CT4
Cell841	CT1
Cell842	CT3
Cell843	CT1
Cell844	CT4
Cell845	CT4
Cell846	CT3
Cell847	CT4
Cell848	CT2
Cell849	CT3
Cell850	CT1
Cell851	CT3
Cell852	CT3
Cell853	CT3
Cell854	CT2
Cell855	CT2
Cell856	CT2
Cell857	CT3
Cell858	CT2
Cell859	CT4
Cell860	CT2
Cell861	CT1
Cell862	CT4
Cell863	CT1
Cell864	CT3
Cell865	CT3
Cell866	CT2
Cell867	CT1
Cell868	CT1
Cell869	CT4
Cell870	CT3
Cell871	CT4
Cell872	CT2
Cell873	CT4
Cell874	CT3
Cell875	CT4
Cell876	CT4
Cell877	CT4
Cell878	CT1
Cell879	CT2
Cell880	CT3
Cell881	CT3
Cell882	CT3
Cell883	CT2
Cell884	CT4
Cell885	CT4
Cell886	CT3
Cell887	CT2
Cell888	CT1
Cell889	CT3
Cell890	CT2
Cell891	CT3
Cell892	CT3
Cell893	CT2
Cell894	CT3
Cell895	CT4
Cell896	CT2
Cell897	CT2
Cell898	CT2
Cell899	CT4
Cell900	CT1
Cell901	CT1
Cell902	CT4
Cell903	CT1
Cell904	CT4
Cell905	CT2
Cell906	CT1
Cell907	CT1
Cell908	CT2
Cell909	CT3
Cell910	CT2
Cell911	CT3
Cell912	CT3
Cell913	CT3
Cell914	CT1
Cell915	CT2
Cell916	CT1
Cell917	CT2
Cell918	CT4
Cell919	CT2
Cell920	CT1
Cell921	CT4
Cell922	CT2
Cell923	CT3
Cell924	CT3
Cell925	CT1
Cell926	CT3
Cell927	CT2
Cell928	CT4
Cell929	CT3
Cell930	CT3
Cell931	CT4
Cell932	CT2
Cell933	CT2
Cell934	CT1
Cell935	CT4
Cell936	CT4
Cell937	CT2
Cell938	CT1
Cell939	CT2
Cell940	CT3
Cell941	CT3
Cell942	CT3
Cell943	CT3
Cell944	CT3
Cell945	CT1
Cell946	CT2
Cell947	CT2
Cell948	CT3
Cell949	CT4
Cell950	CT4
Cell951	CT3
Cell952	CT3
Cell953	CT3
Cell954	CT3
Cell955	CT3
Cell956	CT3
Cell957	CT1
Cell958	CT3
Cell959	CT4
Cell960	CT1
Cell961	CT3
Cell962	CT4
Cell963	CT4
Cell964	CT1
Cell965	CT4
Cell966	CT2
Cell967	CT4
Cell968	CT3
Cell969	CT1
Cell970	CT1
Cell971	CT2
Cell972	CT2
Cell973	CT1
Cell974	CT2
Cell975	CT3
Cell976	CT2
Cell977	CT2
Cell978	CT1
Cell979	CT1
Cell980	CT3
Cell981	CT3
Cell982	CT1
Cell983	CT4
Cell984	CT2
Cell985	CT1
Cell986	CT1
Cell987	CT2
Cell988	CT1
Cell989	CT3
Cell990	CT1
Cell991	CT3
Cell992	CT1
Cell993	CT4
Cell994	CT4
Cell995	CT4
Cell996	CT4
Cell997	CT2
Cell998	CT1
Cell999	CT2
Cell1000	CT3
Cell1001	CT4
Cell1002	CT1
Cell1003	CT2
Cell1004	CT2
Cell1005	CT3
Cell1006	CT3
Cell1007	CT2
Cell1008	CT1
Cell1009	CT3
Cell1010	CT3
Cell1011	CT4
Cell1012	CT2
Cell1013	CT4
Cell1014	CT2
Cell1015	CT2
Cell1016	CT4
Cell1017	CT1
Cell1018	CT4
Cell1019	CT3
Cell1020	CT4
Cell1021	CT1
Cell1022	CT2
Cell1023	CT4
Cell1024	CT2
Cell1025	CT1
Cell1026	CT2
Cell1027	CT2
Cell1028	CT2
Cell1029	CT4
Cell1030	CT4
Cell1031	CT1
Cell1032	CT1
Cell1033	CT1
Cell1034	CT1
Cell1035	CT3
Cell1036	CT1
Cell1037	CT2
Cell1038	CT1
Cell1039	CT2
Cell1040	CT2
Cell1041	CT1
Cell1042	CT1
Cell1043	CT2
Cell1044	CT3
Cell1045	CT3
Cell1046	CT3
Cell1047	CT3
Cell1048	CT3
Cell1049	CT4
Cell1050	CT3
Cell1051	CT4
Cell1052	CT2
Cell1053	CT3
Cell1054	CT2
Cell1055	CT2
Cell1056	CT1
Cell1057	CT1
Cell1058	CT4
Cell1059	CT2
Cell1060	CT4
Cell1061	CT2
Cell1062	CT3
Cell1063	CT2
Cell1064	CT1
Cell1065	CT4
Cell1066	CT1
Cell1067	CT2
Cell1068	CT3
Cell1069	CT2
Cell1070	CT1
Cell1071	CT2
Cell1072	CT3
Cell1073	CT3
Cell1074	CT1
Cell1075	CT1
Cell1076	CT1
Cell1077	CT1
Cell1078	CT3
Cell1079	CT4
Cell1080	CT2
Cell1081	CT3
Cell1082	CT3
Cell1083	CT4
Cell1084	CT2
Cell1085	CT4
Cell1086	CT3
Cell1087	CT2
Cell1088	CT4
Cell1089	CT4
Cell1090	CT3
Cell1091	CT1
Cell1092	CT2
Cell1093	CT4
Cell1094	CT1
Cell1095	CT2
Cell1096	CT3
Cell1097	CT1
Cell1098	CT1
Cell1099	CT4
Cell1100	CT2
Cell1101	CT4
Cell1102	CT1
Cell1103	CT3
Cell1104	CT2
Cell1105	CT3
Cell1106	CT3
Cell1107	CT3
Cell1108	CT4
Cell1109	CT2
Cell1110	CT3
Cell1111	CT2
Cell1112	CT4
Cell1113	CT3
Cell1114	CT1
Cell1115	CT4
Cell1116	CT4
Cell1117	CT2
Cell1118	CT1
Cell1119	CT3
Cell1120	CT4
Cell1121	CT1
Cell1122	CT4
Cell1123	CT3
Cell1124	CT1
Cell1125	CT4
Cell1126	CT3
Cell1127	CT2
Cell1128	CT3
Cell1129	CT2
Cell1130	CT4
Cell1131	CT4
Cell1132	CT1
Cell1133	CT3
Cell1134	CT3
Cell1135	CT2
Cell1136	CT4
Cell1137	CT2
Cell1138	CT1
Cell1139	CT2
Cell1140	CT2
Cell1141	CT2
Cell1142	CT3
Cell1143	CT2
Cell1144	CT2
Cell1145	CT2
Cell1146	CT2
Cell1147	CT4
Cell1148	CT1
Cell1149	CT2
Cell1150	CT1
Cell1151	CT3
Cell1152	CT3
Cell1153	CT1
Cell1154	CT1
Cell1155	CT2
Cell1156	CT2
Cell1157	CT3
Cell1158	CT3
Cell1159	CT1
Cell1160	CT4
Cell1161	CT2
Cell1162	CT4
Cell1163	CT3
Cell1164	CT1
Cell1165	CT3
Cell1166	CT4
Cell1167	CT4
Cell1168	CT1
Cell1169	CT3
Cell1170	CT3
Cell1171	CT3
Cell1172	CT4
Cell1173	CT2
Cell1174	CT4
Cell1175	CT1
Cell1176	CT2
Cell1177	CT2
Cell1178	CT2
Cell1179	CT1
Cell1180	CT3
Cell1181	CT2
Cell1182	CT1
Cell1183	CT2
Cell1184	CT4
Cell1185	CT1
Cell1186	CT1
Cell1187	CT1
Cell1188	CT3
Cell1189	CT3
Cell1190	CT1
Cell1191	CT4
Cell1192	CT4
Cell1193	CT4
Cell1194	CT3
Cell1195	CT3
Cell1196	CT2
Cell1197	CT2
Cell1198	CT1
Cell1199	CT4
Cell1200	CT2
Cell1201	CT3
Cell1202	CT1
Cell1203	CT1
Cell1204	CT4
Cell1205	CT3
Cell1206	CT4
Cell1207	CT2
Cell1208	CT4
Cell1209	CT4
Cell1210	CT3
Cell1211	CT4
Cell1212	CT3
Cell1213	CT2
Cell1214	CT3
Cell1215	CT3
Cell1216	CT4
Cell1217	CT2
Cell1218	CT1
Cell1219	CT3
Cell1220	CT4
Cell1221	CT4
Cell1222	CT4
Cell1223	CT4
Cell1224	CT1
Cell1225	CT4
Cell1226	CT1
Cell1227	CT1
Cell1228	CT1
Cell1229	CT1
Cell1230	CT1
Cell1231	CT1
Cell1232	CT4
Cell1233	CT2
Cell1234	CT2
Cell1235	CT2
Cell1236	CT1
Cell1237	CT4
Cell1238	CT1
Cell1239	CT3
Cell1240	CT3
Cell1241	CT4
Cell1242	CT4
Cell1243	CT1
Cell1244	CT4
Cell1245	CT3
Cell1246	CT1
Cell1247	CT3
Cell1248	CT1
Cell1249	CT3
Cell1250	CT2
Cell1251	CT3
Cell1252	CT2
Cell1253	CT2
Cell1254	CT3
Cell1255	CT2
Cell1256	CT2
Cell1257	CT3
Cell1258	CT4
Cell1259	CT3
Cell1260	CT3
Cell1261	CT1
Cell1262	CT2
Cell1263	CT2
Cell1264	CT3
Cell1265	CT2
Cell1266	CT4
Cell1267	CT4
Cell1268	CT1
Cell1269	CT1
Cell1270	CT3
Cell1271	CT2
Cell1272	CT4
Cell1273	CT4
Cell1274	CT1
Cell1275	CT2
Cell1276	CT3
Cell1277	CT3
Cell1278	CT2
Cell1279	CT3
Cell1280	CT3
